title,rating,user_rating_score
White Chicks,PG-13,82
Lucky Number Slevin,R,NA
Grey's Anatomy,TV-14,98
Prison Break,TV-14,98
How I Met Your Mother,TV-PG,94
Supernatural,TV-14,95
Breaking Bad,TV-MA,97
The Vampire Diaries,TV-14,91
The Walking Dead,TV-MA,98
Pretty Little Liars,TV-14,96
Once Upon a Time,TV-PG,98
Sherlock,TV-14,95
Death Note,TV-14,77
Naruto,TV-PG,88
The Hunter,R,NA
Lottie Dottie Chicken,TV-Y,NA
Arrow,TV-14,96
Black Mirror,TV-MA,80
The Originals,TV-14,74
The 100,NR,97
Masha and the Bear,TV-Y,81
Nymphomaniac: Volume 1,NR,NA
Hunter X Hunter (2011),NR,57
Marvel's Luke Cage,TV-MA,95
Marvel's Iron Fist,TV-MA,98
Narcos,TV-MA,94
The Flash,TV-PG,98
The Seven Deadly Sins,TV-14,NA
Scream,TV-14,NA
The Do-Over,TV-MA,84
Opera̵̤es Especiais,TV-MA,NA
3%,TV-MA,NA
Trollhunters,TV-Y7-FV,83
Fearless,TV-14,NA
Hyena Road,R,NA
Santa Clarita Diet,TV-MA,82
"Sex, Love and Therapy",NR,NA
White Girl,UR,NA
Girlboss,TV-MA,94
City of God: 10 Years Later,TV-MA,NA
13 Reasons Why,TV-MA,99
Sand Castle,TV-MA,89
Salvador Martinha - Tip of the Tongue,TV-MA,NA
Sandy Wexler,TV-14,92
O Amor no Diṿ,TV-MA,NA
Stronger Than the World,NR,NA
Back and Forth,NR,NA
Happily Married,TV-14,NA
Pandora,TV-MA,NA
Lucky Number Slevin,R,NA
The Office (U.S.),TV-14,97
Grey's Anatomy,TV-14,98
Prison Break,TV-14,98
90210,TV-14,62
Gossip Girl,TV-14,96
How I Met Your Mother,TV-PG,94
Supernatural,TV-14,95
Breaking Bad,TV-MA,97
Parks and Recreation,TV-14,94
Glee,TV-PG,92
The Vampire Diaries,TV-14,91
Family Guy,TV-MA,98
Criminal Minds,TV-14,98
Friends,TV-14,98
The Secret Life of the American Teenager,TV-14,81
One Tree Hill,TV-14,90
The Walking Dead,TV-MA,98
Pretty Little Liars,TV-14,96
Shameless (U.S.),TV-MA,97
New Girl,TV-14,91
American Horror Story,TV-MA,90
Orange Is the New Black,TV-MA,98
Inside Russia's Toughest Prison,TV-14,NA
Black Mirror,TV-MA,80
Bates Motel,TV-14,83
The 100,NR,97
Marvel's Iron Fist,TV-MA,98
Grace and Frankie,TV-MA,90
How to Get Away with Murder,TV-14,95
The Get Down,TV-MA,80
Love,TV-MA,NA
The Flash,TV-PG,98
The OA,TV-MA,NA
Stranger Things,TV-14,90
Ingobernable,TV-MA,96
Zootopia,PG,97
Meet the Blacks,R,79
Finding Dory,PG,98
Santa Clarita Diet,TV-MA,82
Sausage Party,R,91
Pete's Dragon,PG,93
Kevin Hart: What Now?,R,97
Girlboss,TV-MA,94
The Discovery,TV-MA,NA
Sand Castle,TV-MA,89
Sandy Wexler,TV-14,92
Chewing Gum,TV-MA,93
Cheer Squad,TV-PG,61
Only for One Night,TV-MA,78
The Life Aquatic with Steve Zissou,R,NA
Lucky Number Slevin,R,NA
The L Word,TV-MA,NA
The Office (U.S.),TV-14,97
30 Rock,TV-14,66
Mad Men,TV-14,75
It's Always Sunny in Philadelphia,TV-MA,91
Californication,TV-MA,63
Parks and Recreation,TV-14,94
Friends,TV-14,98
Shameless (U.S.),TV-MA,97
Portlandia,TV-14,62
New Girl,TV-14,91
Don't Trust the B---- in Apartment 23,TV-14,NA
Friends with Benefits,TV-14,NA
The Client List,TV-14,92
Halt and Catch Fire,TV-14,NA
5 to 7,R,NA
Marvel's Iron Fist,TV-MA,98
Chef's Table,TV-MA,NA
Documentary Now!,TV-14,NA
Grace and Frankie,TV-MA,90
Better Call Saul,TV-MA,95
The Get Down,TV-MA,80
Schitt's Creek,TV-14,74
Lovesick,TV-MA,NA
Flaked,TV-MA,NA
Master of None,TV-MA,NA
Chelsea,TV-MA,NA
Abstract: The Art of Design,TV-14,NA
Cooper Barrett's Guide to Surviving Life,TV-14,NA
The Great British Baking Show,TV-PG,94
Life in Pieces,TV-14,68
Crazy Ex-Girlfriend,TV-14,NA
Easy,TV-MA,NA
Santa Clarita Diet,TV-MA,82
No Tomorrow,TV-14,NA
Minimalism: A Documentary About the Important Things,TV-PG,NA
Girlboss,TV-MA,94
Hot Girls Wanted: Turned On,TV-MA,NA
The Discovery,TV-MA,NA
13 Reasons Why,TV-MA,99
Sandy Wexler,TV-14,92
Chewing Gum,TV-MA,93
Win It All,TV-MA,NA
Amy Schumer: The Leather Special,TV-MA,NA
Louis C.K. 2017,TV-MA,71
Dave Chappelle,TV-MA,94
Almost Adults,NR,NA
The Brothers,R,NA
Skins,TV-MA,NA
The Cleveland Show,TV-14,88
Absolutely Fabulous,TV-14,59
Don't Trust the B---- in Apartment 23,TV-14,NA
Raising Hope,TV-14,73
Come Fly With Me,TV-14,NA
Orange Is the New Black,TV-MA,98
Brickleberry,TV-MA,63
Bates Motel,TV-14,83
BoJack Horseman,TV-MA,NA
Being Mary Jane: The Series,TV-14,NA
Documentary Now!,TV-14,NA
Grace and Frankie,TV-MA,90
Unbreakable Kimmy Schmidt,TV-14,NA
The Get Down,TV-MA,80
Love,TV-MA,NA
Bordertown,TV-14,86
Jane The Virgin,TV-14,91
Schitt's Creek,TV-14,74
Dope,R,79
Lovesick,TV-MA,NA
The Carmichael Show,TV-14,69
Cooper Barrett's Guide to Surviving Life,TV-14,NA
The Great British Baking Show,TV-PG,94
November Rule,TV-14,NA
Life in Pieces,TV-14,68
Crazy Ex-Girlfriend,TV-14,NA
Easy,TV-MA,NA
Haters Back Off,TV-14,58
Kubo and the Two Strings,PG,96
Skins,TV-MA,NA
A Weekend with the Family,TV-MA,NA
Crazyhead,TV-MA,NA
Queen of Katwe,PG,NA
Little Boxes,TV-14,61
Deidra & Laney Rob a Train,TV-14,NA
Girlboss,TV-MA,94
Hot Girls Wanted: Turned On,TV-MA,NA
13 Reasons Why,TV-MA,99
Hurricane Bianca,TV-MA,NA
Honeytrap,NR,NA
Greenleaf,TV-14,62
Lazy Eye,TV-MA,NA
Like Cotton Twines,NR,NA
The Wedding Party,TV-14,NA
Dave Chappelle,TV-MA,94
Only for One Night,TV-MA,78
Boy Bye,TV-MA,NA
Almost Adults,NR,NA
Nancy Drew,PG,NA
30 Rock,TV-14,66
Nurse Jackie,TV-MA,82
Parks and Recreation,TV-14,94
Drop Dead Diva,TV-PG,NA
Gilmore Girls,TV-14,91
Parenthood,TV-14,79
Life Unexpected,TV-PG,55
Portlandia,TV-14,62
New Girl,TV-14,91
Don't Trust the B---- in Apartment 23,TV-14,NA
Raising Hope,TV-14,73
Being Human (U.S.),TV-14,58
Friends with Benefits,TV-14,NA
The Carrie Diaries,TV-14,NA
Baby Daddy,TV-14,80
Halt and Catch Fire,TV-14,NA
The Angriest Man in Brooklyn,R,NA
5 to 7,R,NA
Chef's Table,TV-MA,NA
Grace and Frankie,TV-MA,90
Unbreakable Kimmy Schmidt,TV-14,NA
The Get Down,TV-MA,80
Sense8,TV-MA,81
Love,TV-MA,NA
Bordertown,TV-14,86
Girlfriends' Guide to Divorce,TV-14,63
Schitt's Creek,TV-14,74
The Carmichael Show,TV-14,69
Chelsea,TV-MA,NA
Abstract: The Art of Design,TV-14,NA
Cooper Barrett's Guide to Surviving Life,TV-14,NA
The Great British Baking Show,TV-PG,94
Life in Pieces,TV-14,68
Crazy Ex-Girlfriend,TV-14,NA
Fried,TV-MA,NA
The Great Gilly Hopkins,PG,69
The Magicians,TV-MA,89
One Day at a Time,TV-PG,NA
No Tomorrow,TV-14,NA
Hot Girls Wanted: Turned On,TV-MA,NA
13 Reasons Why,TV-MA,99
Better Off Single,TV-MA,NA
Sandy Wexler,TV-14,92
Chewing Gum,TV-MA,93
The Matchbreaker,PG,79
Tramps,TV-MA,NA
Slam,TV-MA,NA
Cheer Squad,TV-PG,61
